iter	Passed	Remaining
1259	11212	77775
1260	11220	77763
1261	11230	77756
1262	11237	77740
1263	11246	77730
1264	11255	77720
1265	11264	77709
1266	11272	77699
1267	11281	77686
1268	11290	77679
1269	11299	77670
1270	11307	77657
1271	11317	77656
1272	11326	77648
1273	11335	77638
1274	11345	77637
1275	11355	77636
1276	11363	77622
1277	11372	77610
1278	11380	77600
1279	11388	77587
1280	11397	77577
1281	11406	77566
1282	11414	77555
1283	11423	77545
1284	11432	77534
1285	11441	77525
1286	11450	77521
1287	11460	77516
1288	11470	77514
1289	11480	77512
1290	11489	77508
1291	11499	77507
1292	11509	77504
1293	11519	77506
1294	11529	77503
1295	11540	77507
1296	11549	77499
1297	11559	77496
1298	11569	77497
1299	11580	77497
1300	11589	77490
1301	11598	77484
1302	11608	77479
1303	11617	77475
1304	11627	77471
1305	11635	77458
1306	11644	77450
1307	11653	77438
1308	11661	77428
1309	11671	77422
1310	11679	77411
1311	11689	77405
1312	11697	77394
1313	11706	77384
1314	11715	77377
1315	11725	77375
1316	11735	77369
